rnd_spend,profit_margin
5.745071229516849,4.34563383005659
4.792603548243223,2.96974020335394
5.971532807151039,3.5031509646997683
7.284544784612038,5.710857638069294
4.648769937914996,4.285138479036448
4.648794564576229,4.185436314319559
7.368819223261087,4.318955933060122
6.151152093729364,3.99659408975934
4.295788421097572,3.338315326171864
5.813840065378948,5.045233172887622
4.304873460781307,2.5342371847016247
4.301405369644614,2.825324782087413
5.362943407349051,2.647725411138308
2.1300796330133034,0.2948491190286415
2.41262325123045,2.5013620982555134
4.1565687061385415,4.265838122867802
3.480753319498364,2.364517202068521
5.471370998892911,4.833492597117061
3.637963886718184,2.9082107457503623
2.881544447997063,1.3719613589928197
7.198473153382331,5.400326812876045
4.661335549270197,4.800971450955107
5.101292307031886,3.5350785758123684
2.8628777206798146,3.5686580602898763
4.183425913212226,0.3086530351588132
5.166383884564799,4.438371223570583
3.2735096338665457,2.378503811944753
5.563547027518508,3.595475568797088
4.099041965121793,2.9610901521207573
4.562459375310085,1.2061526481161664
4.097440081655905,2.648536169321621
7.778417276763406,5.80200466524613
4.979754162893099,4.963721958766685
3.4134336065661497,1.8711333063226567
6.233817368154783,3.55517855481516
3.168734525043466,1.71635712394589
5.313295392507133,4.634708892457066
2.0604948141803368,1.77109747958592
3.0077209266523544,1.5756444448896092
5.295291853803685,4.219971730775935
6.107699869993116,4.3724674583432215
5.257052421784956,4.648581685782358
4.826527576417639,2.676516209614995
4.548344456616067,2.8561789730334786
2.782217014448859,1.5554437569820436
3.920233687407937,1.2806486330534377
4.309041843560319,3.312449567556799
6.585683339328374,4.871033609709751
5.515427434352692,3.865912660689345
2.3554397669559,1.4142207034939824
